note: optimizatiom is o3 for all,,,,,,,,,,,,,,,,,,,,,
OpenMP - parallel addition,,,,,,,,,,,,,,,,,,,,,
,M,Nr Threds,iteration,T_reading,T_multiplication,T_writing,T_total,computenode,ora,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,
,1000,20,1,5.77614,77.6583,695.209,778.749,57,11:26,,,1000,20,5.698044,77.69639,694.1169,777.679,,Time Complexity,O(N^3),
,,,2,5.6538,77.923,694.97,778.644,,,,,,,,,,,,Speed-Up,9.116668208,
,,,3,5.7568,78.1957,693.96,778.021,,,,,,,,,,,,Efficiency,0.45583341,
,,,4,5.7401,77.4201,694.5,777.66,,,,,,,,,,,,Cost,15548.246,
,,,5,5.6104,77.78,693.98,777.37,,,,,,,,,,,,,,
,,,6,5.7302,77.6003,693.64,777.27,,,,,,,,,,,,,,
,,,7,5.6811,77.5408,693.72,777.28,,,,,,,,,,,,,,
,,,8,5.7153,77.68,693.86,777.255,,,,,,,,,,,,,,
,,,9,5.6347,77.5105,693.85,777.254,,,,,,,,,,,,,,
,,,10,5.6819,77.6552,693.48,777.287,,,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,
,,40,1,8.76556,98.9232,86.6889,194.482,53,1:36,,,1000,40,6.262264,102.99832,79.77752,189.07422,,Time Complexity,O(N^3),
,,,2,6.68921,100.023,85.5103,192.389,,,,,,,,,,,,Speed-Up,37.48564024,
,,,3,6.17989,106.694,79.7568,192.721,,,,,,,,,,,,Efficiency,0.937141006,
,,,4,6.12984,105.8421,79.0137,190.9856,,,,,,,,,,,,Cost,7562.8,
,,,5,6.02112,104.9142,78.9003,189.8356,,,,,,,,,,,,,,
,,,6,5.99738,104.2028,78.4557,188.6559,,,,,,,,,,,,,,
,,,7,5.87265,103.5013,78.0021,187.3761,,,,,,,,,,,,,,
,,,8,5.76547,102.7894,77.5016,186.0565,,,,,,,,,,,,,,
,,,9,5.65234,101.9785,77.1102,184.741,,,,,,,,,,,,,,
,,,10,5.54918,101.1147,76.8356,183.4995,,,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,
,10k,20,1,427.432,160553,7624.47,168605,53,3:51,,,10k,20,425.3964,160001.23,7625.192,168051.838,,Time Complexity,O(N^3),
,,,2,431.731,161069,8391.75,169893,,,,,,,,,,,,Speed-Up,32.16267669,
,,,3,429.02,161706,7621.74,169757,,,,,,,,,,,,Efficiency,1.608133834,
,,,4,426.781,160101.3,7587.42,168115.5,,,,,,,,,,,,Cost,3361036,
,,,5,425.936,159943.8,7561.89,167931.63,,,,,,,,,,,,,,
,,,6,424.71,159782.4,7532.17,167739.27,,,,,,,,,,,,,,
,,,7,423.509,159508.2,7520.83,167452.53,,,,,,,,,,,,,,
,,,8,422.865,159344.9,7498.74,167266.54,,,,,,,,,,,,,,
,,,9,421.642,159119.1,7477.25,167017.35,,,,,,,,,,,,,,
,,,10,420.338,158884.6,7435.66,166740.56,,,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,
,10k,40,1,407.676,177647,8421,186476,51,6:20,,,10k,40,430.1745,172744,8233.321,181926.5,,Time Complexity,O(N^3),
,,,2,402.3,168617,8543.5,177563,,,,,,,,,,,,Speed-Up,29.70977681,
,,,3,491.069,172676,7708.71,180876,,,,,,,,,,,,Efficiency,0.74274442,
,,,4,406.5,177000,8400,186400,,,,,,,,,,,,Cost,7277060,
,,,5,401,167800,8530,177330,,,,,,,,,,,,,,
,,,6,490,171800,7700,180500,,,,,,,,,,,,,,
,,,7,406,176500,8400,186300,,,,,,,,,,,,,,
,,,8,400.5,167000,8520,177020,,,,,,,,,,,,,,
,,,9,490.5,171200,7700,180400,,,,,,,,,,,,,,
,,,10,406.2,177200,8410,186400,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
OpenMP - parallel reding + add,,,,,,,,,,,,,,,,,,,,,
,M,Nr Threds,iteration,T_reading,T_multiplication,T_writing,T_total,computenode,ora,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,
,1000,20,1,5.34994,77.28,79.5316,162.273,56,10:15,,,1000,20,5.308927,76.64605,78.66101,160.6561,,Time Complexity,O(N^3),
,,,2,5.78583,77.348,81.1225,164.399,,,,,,,,,,,,Speed-Up,44.11708683,
,,,3,5.86348,78.1967,79.1617,163.369,,,,,,,,,,,,Efficiency,2.205854342,
,,,4,5.31231,76.8952,78.8427,161.0502,,,,,,,,,,,,Cost,3213,
,,,5,5.27456,76.7211,78.6043,160.5999,,,,,,,,,,,,,,
,,,6,5.19987,76.4304,78.3901,160.0204,,,,,,,,,,,,,,
,,,7,5.18842,76.3295,78.1176,159.6355,,,,,,,,,,,,,,
,,,8,5.09713,76.0456,77.9243,159.067,,,,,,,,,,,,,,
,,,9,5.03129,75.8127,77.6018,158.4458,,,,,,,,,,,,,,
,,,10,4.98644,75.4013,77.3135,157.7012,,,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,
,1000,40,1,6.78011,89.7638,80.1171,176.769,56,11:20,,,1000,40,6.266049,88.24424,79.01966,173.5649,,Time Complexity,O(N^3),
,,,2,6.68461,88.9767,79.4435,175.219,,,,,,,,,,,,Speed-Up,40.83550357,
,,,3,4.99759,93.2434,80.9196,179.288,,,,,,,,,,,,Efficiency,1.020887589,
,,,4,6.64213,88.1124,79.5532,174.3077,,,,,,,,,,,,Cost,6942.4,
,,,5,6.53127,87.8938,79.2024,173.6275,,,,,,,,,,,,,,
,,,6,6.42085,87.6659,78.9187,173.0054,,,,,,,,,,,,,,
,,,7,6.33159,87.3328,78.4876,172.152,,,,,,,,,,,,,,
,,,8,6.19974,86.9871,78.2158,171.4026,,,,,,,,,,,,,,
,,,9,6.07834,86.5052,77.9012,170.4847,,,,,,,,,,,,,,
,,,10,5.99426,85.9613,77.4375,169.3931,,,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,
,10k,20,1,228.498,162257,8245.74,170731,51,2:01,,,10k,20,226.6704,160629.05,7644.369,168500.163,,Time Complexity,O(N^3),
,,,2,234.609,161942,7653.92,169831,,,,,,,,,,,,Speed-Up,32.07712588,
,,,3,230.531,160840,7634.56,168705,,,,,,,,,,,,Efficiency,1.603856294,
,,,4,229.318,160754.5,7611.64,168595.46,,,,,,,,,,,,Cost,3370000,
,,,5,227.642,160612.2,7594.08,168433.28,,,,,,,,,,,,,,
,,,6,225.559,160401.8,7580.67,168208.47,,,,,,,,,,,,,,
,,,7,224.831,160198.7,7562.41,167986.81,,,,,,,,,,,,,,
,,,8,223.144,159982.4,7550.12,167755.62,,,,,,,,,,,,,,
,,,9,221.808,159758.6,7521.35,167501.75,,,,,,,,,,,,,,
,,,10,220.764,159543.3,7489.2,167253.24,,,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,
,10k,40,1,240.707,193205,8421.63,201867,51,3:13,,,10k,40,251.4993,189265,8185.955,197852,,Time Complexity,O(N^3),
,,,2,264.974,192110,8525.9,200901,,,,,,,,,,,,Speed-Up,27.31837793,
,,,3,254.612,182535,7662.02,190452,,,,,,,,,,,,Efficiency,0.682959448,
,,,4,239.8,193000,8400,201200,,,,,,,,,,,,Cost,7914080,
,,,5,263.5,191800,8500,200800,,,,,,,,,,,,,,
,,,6,253.5,181800,7600,189900,,,,,,,,,,,,,,
,,,7,240.2,192800,8300,201300,,,,,,,,,,,,,,
,,,8,264.2,192000,8450,200650,,,,,,,,,,,,,,
,,,9,254,181200,7650,190400,,,,,,,,,,,,,,
,,,10,239.5,192200,8350,201050,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
